mainstat,sex,marstat,national_summary_x1,national_summary_x3,national_summary,hatlevel,hatfield,ageclass,familytype_summary,region
1,1,2,,1,1,600,300,8,2,2
1,2,2,,1,1,600,300,8,2,2
9,1,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,2,2,2
3,2,2,,1,1,400,300,7,1,2
1,1,2,,1,1,400,600,9,1,2
1,2,2,,1,1,304,0,13,1,1
1,1,2,,1,1,304,0,13,1,1
7,2,4,,1,1,600,300,12,3,2
3,1,1,,1,1,200,9999,4,3,2
1,2,2,,1,1,200,9999,12,1,1
1,1,2,,1,1,400,500,11,1,1
4,1,2,,1,1,200,9999,15,1,2
7,2,2,,1,1,200,9999,15,1,2
1,1,2,,4,4,304,0,8,2,2
1,2,2,,4,4,304,0,7,2,2
9,1,1,,1,1,999,9999,2,2,2
9,2,1,,1,1,999,9999,1,2,2
1,1,2,,1,1,400,500,10,1,2
7,2,2,,1,1,200,9999,11,1,2
7,2,3,,1,1,100,9999,16,9,1
1,1,1,,1,1,304,0,6,1,2
1,2,1,,1,1,600,200,5,1,2
7,2,3,,1,1,200,9999,16,9,2
1,2,2,,1,1,500,500,7,2,1
1,1,2,,1,1,400,500,10,2,1
9,1,1,,1,1,999,9999,3,2,1
9,2,1,,1,1,999,9999,2,2,1
9,1,1,,1,1,999,9999,1,2,1
1,1,2,,6,6,700,700,8,2,2
1,2,2,,1,1,600,700,8,2,2
9,1,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,1,2,2
9,2,1,,1,1,999,9999,1,2,2
7,2,2,,1,1,500,700,16,1,1
4,1,2,,1,1,200,9999,15,1,1
1,1,1,,1,1,600,460,7,9,2
5,2,2,,1,1,400,200,13,1,2
4,1,2,,1,1,100,9999,13,1,2
5,2,2,,4,4,500,300,10,2,1
1,1,2,,4,4,,9999,9,2,1
9,1,1,,4,4,999,9999,2,2,1
7,2,3,,1,1,100,9999,15,3,2
5,2,1,,1,1,200,9999,10,3,2
1,1,2,,4,4,700,300,8,2,2
1,2,2,,4,4,700,300,8,2,2
9,2,1,,1,1,999,9999,1,2,2
7,2,3,,1,1,304,0,15,3,2
5,1,1,,1,1,100,9999,9,3,2
5,1,1,,1,1,100,9999,13,9,2
5,1,2,,4,4,,9999,13,1,2
7,2,2,,4,4,,9999,12,1,2
4,1,2,,1,1,304,0,14,1,2
1,2,2,,1,1,304,0,13,1,2
4,2,3,,1,1,100,9999,17,9,1
7,2,2,,1,1,400,800,7,2,2
1,1,2,,1,1,200,9999,7,2,2
9,1,1,,1,1,999,9999,2,2,2
9,2,1,,1,1,999,9999,1,2,2
1,2,1,,1,1,100,9999,10,3,2
3,1,1,,1,1,200,9999,4,3,2
3,1,1,,1,1,304,0,5,9,2
3,2,1,,1,1,304,0,5,9,2
3,2,1,,1,1,304,0,5,9,2
3,2,1,,1,1,304,0,5,9,2
3,2,1,,1,1,304,0,4,9,2
3,2,1,,1,1,304,0,4,9,2
1,1,1,,6,6,600,600,9,1,2
1,2,1,,1,1,304,0,8,1,2
7,2,3,,1,1,500,700,11,3,1
3,1,1,,1,1,100,9999,4,3,1
2,1,1,,1,1,304,0,5,3,1
1,2,4,,1,1,,9999,9,9,2
